,,,nRMSE,nRMSE,MaxError,MaxError,MSE,MSE,Conservation,Conservation
,,,mean,std,mean,std,mean,std,mean,std
Optimization,Model,File,,,,,,,,
FNO_Advection_ARB,FNO,1D_Advection_Sols_beta0.1.hdf5,0.021064696301306998,0.0004012371216062202,0.39594751596450806,0.012000015366364835,0.012053573371044226,0.00029768045931495595,0.0017914460206936514,6.193516365462682e-05
FNO_Advection_ARB,FNO,1D_Advection_Sols_beta0.4.hdf5,0.021618183702230453,0.0006373943870967464,0.44641604647040367,0.012138804482472345,0.012487480300478637,0.00040233686610663204,0.0020928578305756673,0.0004507116076233833
FNO_Advection_ARB,FNO,1D_Advection_Sols_beta1.0.hdf5,0.021919314982369542,0.0009729264859618682,0.4814109615981579,0.010795239419135147,0.01271435257513076,0.0006644732589828834,0.0021996996511006728,0.0004135747646567586
FNO_Advection_ARB,FNO,1D_Advection_Sols_beta4.0.hdf5,0.0223300748039037,0.0008355871707501798,0.45233583077788353,0.010096988832579007,0.013244307017885149,0.0005720592810332437,0.001856163187767379,0.0004140933425898554
FNO_Advection_BRO,FNO,1D_Advection_Sols_beta0.1.hdf5,0.02068924829363823,0.000548634778039888,0.38714027106761933,0.01689395980228008,0.011807915195822716,0.00039391824092387606,0.001721719140186906,0.00023151281190599937
FNO_Advection_BRO,FNO,1D_Advection_Sols_beta0.4.hdf5,0.02128414362668991,0.0004687267856310367,0.44029566645622253,0.007218784412867727,0.012266140338033438,0.0003243815628267492,0.0020067261648364365,0.0002496032233889753
FNO_Advection_BRO,FNO,1D_Advection_Sols_beta1.0.hdf5,0.022165682373775378,0.0011643631225332447,0.491647419002321,0.01410901624584442,0.012913648453023698,0.0007740583115406486,0.00228056442251222,0.0004318931220864848
FNO_Advection_BRO,FNO,1D_Advection_Sols_beta4.0.hdf5,0.021980076283216476,0.0011145452822411454,0.4553298383951187,0.01260611487546493,0.012988176941871644,0.0007340884840581339,0.0019404852180741727,0.0004964108784579328
FNO_Advection_MPI,FNO,1D_Advection_Sols_beta0.1.hdf5,0.021016888692975043,0.0005963641130703047,0.38990106880664827,0.009060164816765543,0.012052775919437408,0.0003963326856200437,0.001826062216423452,0.00029386843821665906
FNO_Advection_MPI,FNO,1D_Advection_Sols_beta0.4.hdf5,0.021260680817067622,0.000602945973496473,0.4400006264448166,0.013536727375553857,0.012254484090954065,0.0004137321648196877,0.0019463091623038054,0.00037881931935331134
FNO_Advection_MPI,FNO,1D_Advection_Sols_beta1.0.hdf5,0.02235120441764593,0.0009260128310301511,0.489026215672493,0.014373211346671601,0.013059535343199969,0.0006226486449867138,0.0022218038327991964,0.0003334605934669472
FNO_Advection_MPI,FNO,1D_Advection_Sols_beta4.0.hdf5,0.02201280426234007,0.0008850915110082952,0.45352902412414553,0.012746625452579645,0.013037187233567237,0.0005715900063259101,0.001963509269990027,0.0004129545144537939
FNO_Advection_STD,FNO,1D_Advection_Sols_beta0.1.hdf5,0.019421736523509026,0.0003048017068531281,0.3692024737596512,0.011216477356856821,0.010924142505973577,0.00022685020197513547,0.0011890672089066357,0.00015503332128912365
FNO_Advection_STD,FNO,1D_Advection_Sols_beta0.4.hdf5,0.019367598928511143,0.00058186150472461,0.40545558631420137,0.023052496365321726,0.010924341343343257,0.0003923796880728991,0.0013768849312327802,0.00031844669241424086
FNO_Advection_STD,FNO,1D_Advection_Sols_beta1.0.hdf5,0.019458241946995258,0.0006235654591013462,0.45414617359638215,0.03199565285604256,0.011017889808863401,0.0004121444353088014,0.001349393860436976,0.0002266398526037317
FNO_Advection_STD,FNO,1D_Advection_Sols_beta4.0.hdf5,0.018663347885012626,0.0006703450913559727,0.3993705868721008,0.022016837504391342,0.010789291467517614,0.00040806962098167656,0.0011159082700032742,0.00021355528458266373
FNO_Burgers_ARB,FNO,1D_Burgers_Sols_Nu0.001.hdf5,0.08640044555068016,0.001954071071717779,0.4798903226852417,0.014346988319338894,0.028614995069801807,0.0006112728983087407,0.0018179277656599879,0.00021809414390502887
FNO_Burgers_ARB,FNO,1D_Burgers_Sols_Nu0.01.hdf5,0.026751159504055978,0.002336091320246798,0.22677559554576873,0.009492158778696,0.008947296906262637,0.0005724077889043902,0.0014127152040600776,0.00016121153271062382
FNO_Burgers_ARB,FNO,1D_Burgers_Sols_Nu0.1.hdf5,0.00911048725247383,0.002871124884750894,0.04103026781231165,0.00872495919684176,0.001979864342138171,0.00040088503585168487,0.0008075512654613703,0.00018460064707816702
FNO_Burgers_ARB,FNO,1D_Burgers_Sols_Nu1.0.hdf5,0.01092954184859991,0.0030517655548721336,0.01870951894670725,0.004407613001640383,0.0019411098677664996,0.00016563276356231898,0.0003362670016940683,8.071597562280066e-05
FNO_Burgers_BRO,FNO,1D_Burgers_Sols_Nu0.001.hdf5,0.08625584244728088,0.002025882052828113,0.48483726382255554,0.008405644443775983,0.0285816241055727,0.0006527208781856963,0.0018462958745658399,0.00020744745259207274
FNO_Burgers_BRO,FNO,1D_Burgers_Sols_Nu0.01.hdf5,0.026192393526434897,0.001030819750372686,0.23021730333566665,0.012089579465468864,0.008759437222033739,0.00032585174054120686,0.0013640991179272532,0.00011043108603568314
