,Group,Model,File,Run,MSE,nRMSE,Conservation,MaxError
0,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run1,0.011665773577988148,0.020471151918172836,0.0012533674016594887,0.0810212641954422
1,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run2,0.011732975952327251,0.020541347563266754,0.0012410952476784587,0.08015848696231842
2,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run3,0.011488188058137894,0.02019190974533558,0.0009280300582759082,0.0797002986073494
3,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run4,0.01188892312347889,0.02081252448260784,0.001279022078961134,0.08145762234926224
4,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run5,0.011783537454903126,0.020692016929388046,0.0013533090241253376,0.08048450201749802
5,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run6,0.01258793193846941,0.021684430539608,0.001430941978469491,0.08339616656303406
6,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run7,0.012118147686123848,0.021137742325663567,0.001389061682857573,0.08112023770809174
7,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run8,0.011958089657127857,0.020924294367432594,0.0013812565011903644,0.0806087777018547
8,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run9,0.012231102213263512,0.021365748718380928,0.0014278847957029939,0.08291357010602951
9,1D_Advection_beta0.1,FNO,1D_Advection_Sols_beta0.1.hdf5,Run10,0.011639880016446114,0.02046304941177368,0.0011926646111533046,0.07946007698774338
10,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run1,0.012686783447861671,0.021874114871025085,0.0017607167828828096,0.0821729227900505
11,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run2,0.012509118765592575,0.021613895893096924,0.001682297675870359,0.08255873620510101
12,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run3,0.012800009921193123,0.02228499948978424,0.0020478209480643272,0.08504634350538254
13,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run4,0.01286759041249752,0.022123105823993683,0.002094628056511283,0.08278776705265045
14,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run5,0.012290229089558125,0.021280216053128242,0.0017000131774693727,0.08098190277814865
15,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run6,0.01290909294039011,0.022159095853567123,0.0021488459315150976,0.08237335085868835
16,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run7,0.011934944428503513,0.020712990313768387,0.0009930827654898167,0.07834913581609726
17,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run8,0.012172973714768887,0.021095801144838333,0.0019339474383741617,0.08005673438310623
18,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run9,0.012691568583250046,0.021898796781897545,0.0016042462084442377,0.08099112659692764
19,1D_Advection_beta0.4,FNO,1D_Advection_Sols_beta0.4.hdf5,Run10,0.011974924243986607,0.020791489630937576,0.0014961106935516,0.078615702688694
20,1D_Advection_beta1.0,FNO,1D_Advection_Sols_beta1.0.hdf5,Run1,0.013061042875051498,0.0222969651222229,0.0018994762795045972,0.08376982808113098
21,1D_Advection_beta1.0,FNO,1D_Advection_Sols_beta1.0.hdf5,Run2,0.012782487086951733,0.022014614194631577,0.0021527830976992846,0.08420898765325546
22,1D_Advection_beta1.0,FNO,1D_Advection_Sols_beta1.0.hdf5,Run3,0.013716860674321651,0.023372605443000793,0.0022841650061309338,0.08725304901599884
23,1D_Advection_beta1.0,FNO,1D_Advection_Sols_beta1.0.hdf5,Run4,0.011915559880435467,0.020650316029787064,0.0015162508934736252,0.07992540299892426
24,1D_Advection_beta1.0,FNO,1D_Advection_Sols_beta1.0.hdf5,Run5,0.011963718570768833,0.02073119580745697,0.0013294604141265154,0.08089093118906021
25,1D_Advection_beta1.0,FNO,1D_Advection_Sols_beta1.0.hdf5,Run6,0.01389401126652956,0.023620683699846268,0.0024777427315711975,0.0872735008597374
26,1D_Advection_beta1.0,FNO,1D_Advection_Sols_beta1.0.hdf5,Run7,0.012248183600604534,0.02146008238196373,0.0014153855154290795,0.08255229145288467
27,1D_Advection_beta1.0,FNO,1D_Advection_Sols_beta1.0.hdf5,Run8,0.012962170876562595,0.02219715341925621,0.0018104519695043564,0.08287978172302246
28,1D_Advection_beta1.0,FNO,1D_Advection_Sols_beta1.0.hdf5,Run9,0.012098478153347969,0.020908379927277565,0.0014437048230320215,0.08112311363220215
29,1D_Advection_beta1.0,FNO,1D_Advection_Sols_beta1.0.hdf5,Run10,0.012974126264452934,0.022243056446313858,0.0020340534392744303,0.0842968001961708
30,1D_Advection_beta4.0,FNO,1D_Advection_Sols_beta4.0.hdf5,Run1,0.012540428899228573,0.021241774782538414,0.0011662335600703955,0.07911994308233261
31,1D_Advection_beta4.0,FNO,1D_Advection_Sols_beta4.0.hdf5,Run2,0.012979227118194103,0.021927807480096817,0.0014602190349251032,0.08185391128063202
32,1D_Advection_beta4.0,FNO,1D_Advection_Sols_beta4.0.hdf5,Run3,0.012636246159672737,0.021521832793951035,0.0012960535241290927,0.08071697503328323
33,1D_Advection_beta4.0,FNO,1D_Advection_Sols_beta4.0.hdf5,Run4,0.013729260303080082,0.02303936704993248,0.001966390060260892,0.08600348979234695
