,,,nRMSE,nRMSE,MaxError,MaxError,MSE,MSE,Conservation,Conservation,Boundary,Boundary,FT_Low,FT_Low,FT_Mid,FT_Mid,FT_High,FT_High
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Optimization,Model,File,,,,,,,,,,,,,,,,
FNO_Advection_ARB,FNO,1D_Advection_Sols_beta0.1.hdf5,0.02086343802511692,0.00045784140927049,0.3906541645526886,0.011437518521582755,0.011914345435798168,0.0003272117757078936,0.0016904513817280532,0.00020296622886853362,0.024370314553380013,0.000660410875240766,0.0013080787379294635,0.00014566604573890645,0.0009476078266743571,9.382927019997242e-05,0.0006249852187465877,7.789989392493236e-06
FNO_Advection_ARB,FNO,1D_Advection_Sols_beta0.4.hdf5,0.02161680404096842,0.0005793116668127645,0.4438745975494385,0.011996450373573678,0.012488770019263028,0.00036699389829397314,0.002086499973665923,0.00039849541277390155,0.02643770948052406,0.0017844648682035134,0.0017012952477671206,0.00019541794016525704,0.0011065672384575008,8.437336604782593e-05,0.0006263581686653197,9.899040585186416e-06
FNO_Advection_ARB,FNO,1D_Advection_Sols_beta1.0.hdf5,0.02198340781033039,0.0010327836843570166,0.48439365327358247,0.010123397249473556,0.01276739640161395,0.0007016059600198762,0.002165824605617672,0.0004406543327301447,0.027068507671356202,0.0016074697632285154,0.001776785380207002,0.00030677080708715155,0.0012989839422516524,0.00014672925393807647,0.0006272428843658417,8.287367271092291e-06
FNO_Advection_ARB,FNO,1D_Advection_Sols_beta4.0.hdf5,0.02195936031639576,0.0007931563699601237,0.45077755153179166,0.008668702621829751,0.012979109026491641,0.0005294112296605895,0.0017063610954210161,0.0003615351792957121,0.02786496113985777,0.0017673186877065923,0.0014688883093185723,0.0002241267014143213,0.0013606453314423562,0.00011774188524589336,0.0006106760003603995,1.1889725314282436e-05
FNO_Advection_BRO,FNO,1D_Advection_Sols_beta0.1.hdf5,0.020615819841623306,0.0006246609408988887,0.3872017920017242,0.016847731473177145,0.011766798514872789,0.00043944512618406434,0.0017270474345423281,0.00022575226339340817,0.023918837308883667,0.0010328839631312046,0.001291799859609455,0.0001780792167282551,0.0009219425148330629,6.473270607524806e-05,0.0006210975290741772,1.1535171022475284e-05
FNO_Advection_BRO,FNO,1D_Advection_Sols_beta0.4.hdf5,0.021445540897548198,0.0006752849949573413,0.4404947400093079,0.007229890657803701,0.01238477909937501,0.0004735193197351282,0.0020213734009303153,0.00025749801457695807,0.02582506984472275,0.0010178764216574048,0.0016796998446807266,0.00023242612048052236,0.001089817815227434,9.55740157746463e-05,0.0006219846138264984,5.878327372267029e-06
FNO_Advection_BRO,FNO,1D_Advection_Sols_beta1.0.hdf5,0.02214586567133665,0.0010995590140522068,0.49152869880199435,0.013307404869056592,0.012900415994226932,0.0007309876313114799,0.0022382492432370784,0.00042861614596786436,0.026844421587884425,0.0019124592066071355,0.0018005059799179434,0.0002833095832841822,0.001321448537055403,0.00019208453527124597,0.0006288275239057839,1.0184592857568945e-05
FNO_Advection_BRO,FNO,1D_Advection_Sols_beta4.0.hdf5,0.02233191691339016,0.0009751781079468528,0.457562592625618,0.010216333138349944,0.013234555441886186,0.0006484486790596128,0.0020359384594485163,0.00042490961680942613,0.02791944835335016,0.002361320804563578,0.0015588984126225114,0.00022521796807495288,0.0013702543219551444,0.00016263087152697893,0.0006194838497322053,1.299945444889949e-05
