,,nRMSE,nRMSE,MaxError,MaxError,MSE,MSE,Conservation,Conservation,Boundary,Boundary,FT_Low,FT_Low,FT_Mid,FT_Mid,FT_High,FT_High
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Optimization,Model,,,,,,,,,,,,,,,,
FNO_Advection_ARB,FNO,0.02160575254820287,0.0008526999162123158,0.4424249917268753,0.035520231924627076,0.012537405220791697,0.0006307135540707777,0.001912284264108166,0.00041095199892300237,0.026435373211279513,0.0019679549586408616,0.0015637619188055396,0.0002873586116422617,0.0011784510847064667,0.00019765463957943237,0.0006223155680345372,1.149221033696831e-05
FNO_Advection_BRO,FNO,0.021634785830974577,0.001077377135165025,0.4441969558596611,0.039990092738420815,0.01257163726259023,0.0007950459435587111,0.0020056521345395593,0.00038104538359832985,0.02612694427371025,0.002201243306949872,0.0015827260242076591,0.0002939942547497984,0.001175865797267761,0.000226379252663244,0.0006228483791346662,1.0707962320305205e-05
FNO_Advection_MPI,FNO,0.021660394594073297,0.0009197762833985555,0.44311423078179357,0.037990108914718324,0.01260099543724209,0.0006716856575962874,0.001989421164034866,0.000373359340218877,0.026138547575101256,0.0017765135322173168,0.0015977351635228843,0.0002614760697169815,0.0011937422925257124,0.00018879727158816322,0.0006222904819878749,1.3127588263891897e-05
FNO_Advection_STD,FNO,0.0192277314607054,0.0006347949749549634,0.40704370737075807,0.03809946766224764,0.010913916304707528,0.00036309955943605746,0.001257813526899554,0.00025196750638415105,0.02263829936273396,0.0017670960340793137,0.0010117310361238197,0.00014440008490928472,0.0009052885652636178,0.00010134293763358231,0.0005862994745257311,2.8046816924759128e-05
FNO_Burgers_ARB,FNO,0.0332979081897065,0.03191440309637369,0.19160143055487425,0.18760524729063277,0.010370816526119597,0.011060961559999827,0.0010936153117654611,0.000595839060796053,0.010948935139458627,0.007183349941146578,0.001281401731830556,0.0006032483178656834,0.0012627825988602126,0.0012583956327970444,0.0003940489755223098,0.0005285616619954979
FNO_Burgers_BRO,FNO,0.03382227934198454,0.03139257922579613,0.1951157075818628,0.1884136905916067,0.010398485496989452,0.010989069748087842,0.0011157486558659002,0.0005687534470694057,0.011041103879688308,0.00644193078764023,0.001290033818804659,0.0005877597065975181,0.0012476691083065817,0.00123009794873787,0.0003971177859511954,0.0005265108158362134
FNO_Burgers_MPI,FNO,0.03396551441401243,0.03208592892042274,0.19196213968098164,0.18715276359439184,0.01044778827636037,0.011241986394827439,0.001094951373670483,0.0005631485500659482,0.010946126747876405,0.006548526985452576,0.001268522153259255,0.000602587582857962,0.0012371640605124412,0.001236800992890395,0.00040052169788395986,0.0005329583447636567
FNO_Burgers_STD,FNO,0.03075841536046937,0.030520642181463605,0.18666184921748935,0.18816481335131013,0.009614781633717939,0.010488734304157378,0.001100997860703501,0.0007474870276083963,0.009289121814072132,0.00619595285396651,0.0012008143050479703,0.0006233821138850695,0.0011427387827097845,0.0011568785770603603,0.00037469526455424784,0.0005114549683521783
